Year,Jurisdiction,Category,Stream,Management,Fate,Tonnes,Core or non-core
"2020-2021","ACT","Biosolids","C&I","Other disposal","Disposal","20185.5497421484","Core waste"
"2020-2021","ACT","Biosolids","C&I","Recycling","Recycling","0","Core waste"
"2020-2021","ACT","Building and demolition materials","C&D","Landfill","Disposal","95899.1689117474","Core waste"
"2020-2021","ACT","Building and demolition materials","C&D","Recycling","Recycling","271476.835021761","Core waste"
"2020-2021","ACT","Building and demolition materials","C&D","Waste reuse","Waste reuse","133987.09","Core waste"
"2020-2021","ACT","Building and demolition materials","C&I","Landfill","Disposal","13812.4422211827","Core waste"
"2020-2021","ACT","Building and demolition materials","C&I","Recycling","Recycling","810.03422329252","Core waste"
"2020-2021","ACT","Building and demolition materials","MSW","Landfill","Disposal","2955.55966711225","Core waste"
"2020-2021","ACT","Building and demolition materials","MSW","Recycling","Recycling","0","Core waste"
"2020-2021","ACT","Glass","C&D","Landfill","Disposal","44.1931653971186","Core waste"
"2020-2021","ACT","Glass","C&D","Recycling","Recycling","550.750423369799","Core waste"
"2020-2021","ACT","Glass","C&I","Landfill","Disposal","2315.41434266045","Core waste"
"2020-2021","ACT","Glass","C&I","Recycling","Recycling","10298.495727609","Core waste"
"2020-2021","ACT","Glass","MSW","Landfill","Disposal","4811.09508184325","Core waste"
"2020-2021","ACT","Glass","MSW","Recycling","Recycling","7534.1986951106","Core waste"
"2020-2021","ACT","Hazardous wastes","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","ACT","Hazardous wastes","C&D","Landfill","Disposal","10577.9622522905","Core waste"
"2020-2021","ACT","Hazardous wastes","C&D","Other disposal","Disposal","0","Core waste"
"2020-2021","ACT","Hazardous wastes","C&D","Recycling","Recycling","3.17213018242778","Core waste"
"2020-2021","ACT","Hazardous wastes","C&D","Treatment","Disposal","7.46828531189659","Core waste"
"2020-2021","ACT","Hazardous wastes","C&D","Treatment","Energy recovery","0","Core waste"
"2020-2021","ACT","Hazardous wastes","C&D","Treatment","Recycling","5.67605221515208","Core waste"
"2020-2021","ACT","Hazardous wastes","C&I","Energy from waste facility","Energy recovery","2801.19841534198","Core waste"
"2020-2021","ACT","Hazardous wastes","C&I","Landfill","Disposal","10738.7845742789","Core waste"
"2020-2021","ACT","Hazardous wastes","C&I","Other disposal","Disposal","204.149529298116","Core waste"
"2020-2021","ACT","Hazardous wastes","C&I","Recycling","Recycling","6806.44900703213","Core waste"
"2020-2021","ACT","Hazardous wastes","C&I","Treatment","Disposal","888.946360633539","Core waste"
"2020-2021","ACT","Hazardous wastes","C&I","Treatment","Energy recovery","148.870190678215","Core waste"
"2020-2021","ACT","Hazardous wastes","C&I","Treatment","Recycling","1327.29153342111","Core waste"
"2020-2021","ACT","Metals","C&D","Landfill","Disposal","754.86704137781","Core waste"
"2020-2021","ACT","Metals","C&D","Recycling","Recycling","2184.13186339971","Core waste"
"2020-2021","ACT","Metals","C&I","Landfill","Disposal","2461.83599164825","Core waste"
"2020-2021","ACT","Metals","C&I","Recycling","Recycling","46550.1058668706","Core waste"
"2020-2021","ACT","Metals","MSW","Landfill","Disposal","3674.80629366922","Core waste"
"2020-2021","ACT","Metals","MSW","Recycling","Recycling","2636.40102577369","Core waste"
"2020-2021","ACT","Organics","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","ACT","Organics","C&D","Landfill","Disposal","16574.3190083938","Core waste"
"2020-2021","ACT","Organics","C&D","Landfill","Energy recovery","1067.11485418576","Core waste"
"2020-2021","ACT","Organics","C&D","Recycling","Recycling","42.8068949109267","Core waste"
"2020-2021","ACT","Organics","C&I","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","ACT","Organics","C&I","Landfill","Disposal","25736.5217974379","Core waste"
"2020-2021","ACT","Organics","C&I","Landfill","Energy recovery","10156.3050911054","Core waste"
"2020-2021","ACT","Organics","C&I","Recycling","Recycling","2327.9964390994","Core waste"
"2020-2021","ACT","Organics","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","ACT","Organics","MSW","Landfill","Disposal","38694.3403516103","Core waste"
"2020-2021","ACT","Organics","MSW","Landfill","Energy recovery","24520.7896245187","Core waste"
"2020-2021","ACT","Organics","MSW","Recycling","Recycling","143488.148043289","Core waste"
"2020-2021","ACT","Paper & cardboard","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","ACT","Paper & cardboard","C&D","Landfill","Disposal","1115.50883228478","Core waste"
"2020-2021","ACT","Paper & cardboard","C&D","Landfill","Energy recovery","437.224005992363","Core waste"
"2020-2021","ACT","Paper & cardboard","C&D","Recycling","Recycling","643.124846931481","Core waste"
"2020-2021","ACT","Paper & cardboard","C&I","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","ACT","Paper & cardboard","C&I","Landfill","Disposal","13927.384130874","Core waste"
"2020-2021","ACT","Paper & cardboard","C&I","Landfill","Energy recovery","5458.84219511103","Core waste"
"2020-2021","ACT","Paper & cardboard","C&I","Recycling","Recycling","12898.6948329505","Core waste"
"2020-2021","ACT","Paper & cardboard","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","ACT","Paper & cardboard","MSW","Landfill","Disposal","11676.1038712651","Core waste"
"2020-2021","ACT","Paper & cardboard","MSW","Landfill","Energy recovery","4576.45225320293","Core waste"
"2020-2021","ACT","Paper & cardboard","MSW","Recycling","Recycling","8772.40252752904","Core waste"
"2020-2021","ACT","Plastics","C&D","Landfill","Disposal","1533.62228026758","Core waste"
"2020-2021","ACT","Plastics","C&D","Recycling","Recycling","40.5785269563682","Core waste"
"2020-2021","ACT","Plastics","C&I","Landfill","Disposal","7881.3892928501","Core waste"
